# frame epoch HH:MM
DSCF0011 1779129654 11:40:54
DSCF0012 1779129654 11:40:54
DSCF0013 1779129994 11:46:34
DSCF0014 1779130002 11:46:42
DSCF0015 1779130006 11:46:46
DSCF0016 1779130020 11:47:00
DSCF0017 1779130032 11:47:12
DSCF0018 1779130036 11:47:16
DSCF0019 1779130046 11:47:26
DSCF0020 1779130160 11:49:20
DSCF0021 1779130166 11:49:26
DSCF0022 1779130176 11:49:36
DSCF0023 1779130180 11:49:40
DSCF0024 1779130186 11:49:46
DSCF0025 1779130190 11:49:50
DSCF0026 1779130196 11:49:56
DSCF0027 1779130200 11:50:00
DSCF0028 1779130204 11:50:04
DSCF0029 1779130208 11:50:08
DSCF0030 1779130212 11:50:12
DSCF0031 1779130216 11:50:16
DSCF0032 1779130220 11:50:20
DSCF0033 1779130230 11:50:30
DSCF0034 1779130236 11:50:36
DSCF0035 1779130240 11:50:40
DSCF0036 1779130244 11:50:44
DSCF0037 1779130248 11:50:48
DSCF0038 1779130252 11:50:52
DSCF0039 1779130260 11:51:00
DSCF0040 1779130264 11:51:04
DSCF0041 1779130268 11:51:08
DSCF0042 1779130272 11:51:12
DSCF0043 1779130286 11:51:26
DSCF0044 1779130292 11:51:32
DSCF0045 1779130298 11:51:38
DSCF0046 1779130304 11:51:44
DSCF0047 1779130310 11:51:50
DSCF0048 1779130312 11:51:52
DSCF0049 1779130538 11:55:38
DSCF0050 1779130564 11:56:04
DSCF0051 1779130580 11:56:20
DSCF0052 1779130588 11:56:28
DSCF0053 1779130594 11:56:34
DSCF0054 1779130600 11:56:40
DSCF0055 1779130606 11:56:46
DSCF0056 1779130610 11:56:50
DSCF0057 1779130616 11:56:56
DSCF0058 1779130622 11:57:02
DSCF0059 1779130628 11:57:08
DSCF0060 1779130634 11:57:14
DSCF0061 1779130638 11:57:18
DSCF0062 1779130644 11:57:24
DSCF0063 1779130654 11:57:34
DSCF0064 1779130674 11:57:54
DSCF0065 1779130694 11:58:14
DSCF0066 1779130698 11:58:18
DSCF0067 1779130704 11:58:24
DSCF0068 1779130714 11:58:34
DSCF0069 1779130720 11:58:40
DSCF0070 1779130730 11:58:50
DSCF0071 1779130736 11:58:56
DSCF0072 1779130746 11:59:06
DSCF0073 1779130762 11:59:22
DSCF0074 1779130770 11:59:30
DSCF0075 1779130776 11:59:36
DSCF0076 1779130782 11:59:42
DSCF0077 1779130788 11:59:48
DSCF0078 1779130794 11:59:54
DSCF0079 1779130808 12:00:08
DSCF0080 1779130816 12:00:16
DSCF0081 1779130820 12:00:20
DSCF0082 1779130830 12:00:30
DSCF0083 1779130834 12:00:34
DSCF0084 1779130840 12:00:40
DSCF0085 1779130932 12:02:12
DSCF0086 1779130974 12:02:54
DSCF0087 1779130980 12:03:00
DSCF0088 1779130984 12:03:04
DSCF0089 1779130996 12:03:16
DSCF0090 1779131000 12:03:20
DSCF0091 1779131004 12:03:24
DSCF0092 1779131008 12:03:28
DSCF0093 1779131012 12:03:32
DSCF0094 1779131016 12:03:36
DSCF0095 1779131018 12:03:38
DSCF0096 1779131022 12:03:42
DSCF0097 1779131026 12:03:46
DSCF0098 1779131030 12:03:50
DSCF0099 1779131034 12:03:54
DSCF0100 1779131038 12:03:58
DSCF0101 1779131042 12:04:02
DSCF0102 1779131046 12:04:06
DSCF0103 1779131048 12:04:08
DSCF0104 1779131052 12:04:12
DSCF0105 1779131056 12:04:16
DSCF0106 1779131058 12:04:18
DSCF0107 1779131062 12:04:22
DSCF0108 1779131066 12:04:26
DSCF0109 1779131070 12:04:30
DSCF0110 1779131076 12:04:36
DSCF0111 1779131080 12:04:40
DSCF0112 1779131084 12:04:44
DSCF0113 1779131088 12:04:48
DSCF0114 1779131092 12:04:52
DSCF0115 1779131096 12:04:56
DSCF0116 1779131104 12:05:04
DSCF0117 1779131112 12:05:12
DSCF0118 1779131124 12:05:24
DSCF0119 1779131128 12:05:28
DSCF0120 1779131132 12:05:32
DSCF0121 1779131136 12:05:36
DSCF0122 1779131140 12:05:40
DSCF0123 1779131142 12:05:42
DSCF0124 1779131146 12:05:46
DSCF0125 1779131248 12:07:28
DSCF0126 1779131330 12:08:50
DSCF0127 1779131338 12:08:58
DSCF0128 1779131342 12:09:02
DSCF0129 1779131348 12:09:08
DSCF0130 1779131352 12:09:12
DSCF0131 1779131358 12:09:18
DSCF0132 1779131372 12:09:32
DSCF0133 1779131376 12:09:36
DSCF0134 1779131380 12:09:40
DSCF0135 1779131384 12:09:44
DSCF0136 1779131388 12:09:48
DSCF0137 1779131392 12:09:52
DSCF0138 1779131396 12:09:56
DSCF0139 1779131400 12:10:00
DSCF0140 1779131404 12:10:04
DSCF0141 1779131408 12:10:08
DSCF0142 1779131410 12:10:10
DSCF0143 1779131414 12:10:14
DSCF0144 1779131422 12:10:22
DSCF0145 1779131426 12:10:26
DSCF0146 1779131432 12:10:32
DSCF0147 1779131438 12:10:38
DSCF0148 1779131442 12:10:42
DSCF0149 1779131444 12:10:44
DSCF0150 1779131450 12:10:50
DSCF0151 1779131454 12:10:54
DSCF0152 1779131458 12:10:58
DSCF0153 1779131464 12:11:04
DSCF0154 1779131468 12:11:08
DSCF0155 1779131474 12:11:14
DSCF0156 1779131476 12:11:16
DSCF0157 1779131488 12:11:28
DSCF0158 1779131490 12:11:30
DSCF0159 1779131496 12:11:36
DSCF0160 1779131498 12:11:38
DSCF0161 1779131502 12:11:42
DSCF0162 1779131504 12:11:44
DSCF0163 1779131672 12:14:32
DSCF0164 1779147946 16:45:46
DSCF0165 1779147952 16:45:52
DSCF0166 1779147960 16:46:00
DSCF0167 1779147966 16:46:06
DSCF0168 1779147968 16:46:08
DSCF0169 1779147974 16:46:14
DSCF0170 1779147980 16:46:20
DSCF0171 1779147984 16:46:24
DSCF0172 1779147996 16:46:36
DSCF0173 1779148002 16:46:42
DSCF0174 1779148008 16:46:48
DSCF0175 1779148012 16:46:52
DSCF0176 1779148018 16:46:58
DSCF0177 1779148024 16:47:04
DSCF0178 1779148028 16:47:08
DSCF0179 1779148032 16:47:12
DSCF0180 1779148036 16:47:16
DSCF0181 1779148038 16:47:18
DSCF0182 1779148044 16:47:24
DSCF0183 1779148060 16:47:40
DSCF0184 1779148112 16:48:32
DSCF0185 1779148188 16:49:48
DSCF0186 1779148220 16:50:20
DSCF0187 1779148226 16:50:26
DSCF0188 1779148232 16:50:32
DSCF0189 1779148238 16:50:38
DSCF0190 1779148242 16:50:42
DSCF0191 1779148248 16:50:48
DSCF0192 1779148254 16:50:54
DSCF0193 1779148260 16:51:00
DSCF0194 1779148264 16:51:04
DSCF0195 1779148268 16:51:08
DSCF0196 1779148274 16:51:14
DSCF0197 1779148280 16:51:20
DSCF0198 1779148290 16:51:30
DSCF0199 1779148294 16:51:34
DSCF0200 1779148298 16:51:38
DSCF0201 1779148302 16:51:42
DSCF0202 1779148314 16:51:54
DSCF0203 1779148320 16:52:00
DSCF0204 1779148334 16:52:14
DSCF0205 1779148340 16:52:20
DSCF0206 1779148344 16:52:24
DSCF0207 1779148348 16:52:28
DSCF0208 1779148412 16:53:32
DSCF0209 1779148450 16:54:10
DSCF0210 1779148458 16:54:18
DSCF0211 1779148462 16:54:22
DSCF0212 1779148466 16:54:26
DSCF0213 1779148470 16:54:30
DSCF0214 1779148474 16:54:34
DSCF0215 1779148480 16:54:40
DSCF0216 1779148486 16:54:46
DSCF0217 1779148490 16:54:50
DSCF0218 1779148494 16:54:54
DSCF0219 1779148498 16:54:58
DSCF0220 1779148506 16:55:06
DSCF0221 1779148510 16:55:10
DSCF0222 1779148514 16:55:14
DSCF0223 1779148520 16:55:20
DSCF0224 1779148530 16:55:30
DSCF0225 1779148532 16:55:32
DSCF0226 1779148536 16:55:36
DSCF0227 1779148542 16:55:42
DSCF0228 1779148544 16:55:44
DSCF0229 1779148548 16:55:48
DSCF0230 1779148552 16:55:52
DSCF0231 1779148558 16:55:58
DSCF0232 1779148562 16:56:02
DSCF0233 1779148568 16:56:08
DSCF0234 1779148572 16:56:12
DSCF0235 1779148576 16:56:16
DSCF0236 1779148580 16:56:20
DSCF0237 1779148584 16:56:24
